Time,QHeatTotal
2.42892e+07,2951.254
2.42928e+07,3104.5654
2.42964e+07,3107.8274
2.43e+07,3188.3171
2.43036e+07,2414.1467
2.43072e+07,5648.27
2.43108e+07,5370.914
2.43144e+07,0
2.4318e+07,0
2.43216e+07,0
2.43252e+07,0
2.43288e+07,0
2.43324e+07,0
2.4336e+07,0
2.43396e+07,0
2.43432e+07,0
2.43468e+07,0
2.43504e+07,5822.1567
2.4354e+07,5862.0566
2.43576e+07,1408.1998
2.43612e+07,262.641
2.43648e+07,575.5523
2.43684e+07,792.6884
2.4372e+07,844.92883
2.43756e+07,970.9595
2.43792e+07,1239.6466
2.43828e+07,1565.4681
2.43864e+07,1683.7322
2.439e+07,1010.1458
2.43936e+07,4667.9077
2.43972e+07,4956.266
2.44008e+07,0
2.44044e+07,0
2.4408e+07,0
2.44116e+07,0
2.44152e+07,0
2.44188e+07,0
2.44224e+07,0
2.4426e+07,0
2.44296e+07,0
2.44332e+07,0
2.44368e+07,0
2.44404e+07,0
2.4444e+07,1248.7366
2.44476e+07,0
2.44512e+07,222.97682
2.44548e+07,632.11566
2.44584e+07,869.8238
2.4462e+07,960.0047
2.44656e+07,1132.2755
2.44692e+07,1315.5596
2.44728e+07,1338.0941
2.44764e+07,532.75574
2.448e+07,4304.677
2.44836e+07,0
2.44872e+07,0
2.44908e+07,0
2.44944e+07,0
2.4498e+07,0
2.45016e+07,0
2.45052e+07,0
2.45088e+07,0
2.45124e+07,0
2.4516e+07,0
2.45196e+07,0
2.45232e+07,0
2.45268e+07,0
2.45304e+07,0
2.4534e+07,2280.8088
2.45376e+07,260.7251
2.45412e+07,431.98575
2.45448e+07,692.08704
2.45484e+07,1005.9904
2.4552e+07,1309.7781
2.45556e+07,1566.5311
2.45592e+07,1750.1083
2.45628e+07,1142.9789
2.45664e+07,4747.437
2.457e+07,4799.593
2.45736e+07,0
2.45772e+07,0
2.45808e+07,0
2.45844e+07,0
2.4588e+07,0
2.45916e+07,0
2.45952e+07,0
2.45988e+07,0
2.46024e+07,0
2.4606e+07,0
2.46096e+07,0
2.46132e+07,0
2.46168e+07,842.0917
2.46204e+07,0
2.4624e+07,1.0282874
2.46276e+07,0
2.46312e+07,0
2.46348e+07,0
2.46384e+07,0
2.4642e+07,0
2.46456e+07,0
2.46492e+07,802.82135
2.46528e+07,5135.106
2.46564e+07,0
2.466e+07,0
2.46636e+07,0
2.46672e+07,0
2.46708e+07,0
2.46744e+07,0
2.4678e+07,0
2.46816e+07,0
2.46852e+07,0
2.46888e+07,0
2.46924e+07,0
2.4696e+07,0
2.46996e+07,0
